Label,Applicable_Labels,Descr,Mandatory,Type
Adnl_demographics,,"Education, Employment, Salary, Ethnicity",No,QNR
Media_cons,,What platforms active on? Where do you consume information,No,QNR
Adoption_behavior,,Adoption to new products and tech,No,QNR
Adnl_awareness,,Aware of features and potential new tech,No,QNR
